"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"462",3.65831012992673e-42,0.507635197170698,0.303,0.023,8.72433799784927e-38,"0","MARC1"
"463",3.98359859657218e-42,0.582560493065375,0.505,0.113,9.50008593310533e-38,"0","QSOX1"
"464",6.063557269771e-42,0.795802685239239,0.718,0.267,1.44603713769499e-37,"0","ZNF106"
"465",8.42426837584193e-42,0.569662034890034,0.466,0.093,2.00901952227078e-37,"0","NUDT16"
"466",9.30797412236907e-42,0.663130353770694,0.563,0.145,2.21976566870257e-37,"0","LPGAT1"
"467",1.01320635420709e-41,0.448089849536396,0.3,0.023,2.41629451351306e-37,"0","GLT1D1"
"468",1.44674739615835e-41,0.813981235907723,0.964,0.714,3.45020319035843e-37,"0","LRRFIP1"
"469",1.53217843091128e-41,0.731279730638331,0.946,0.788,3.65393912203723e-37,"0","PCBP2"
"470",1.69428202900949e-41,0.746994406891442,0.96,0.779,4.04052378278184e-37,"0","CAP1"
"471",1.99141455358807e-41,0.392848949283378,0.271,0.014,4.74912542739683e-37,"0","VEGFA"
"472",2.57125651687312e-41,0.815541719039514,0.863,0.465,6.13193254143902e-37,"0","PGLS"
"473",2.61633702106817e-41,1.17075879014764,0.913,0.638,6.23944052784337e-37,"0","ZFP36L1"
"474",4.20394573071743e-41,0.786179537713184,0.74,0.292,1.00255697786149e-36,"0","KIAA0930"
"475",8.04388656266954e-41,0.426168962209772,0.303,0.025,1.91830606746543e-36,"0","GAB2"
"476",1.39439713033314e-40,0.939932484720245,0.83,0.418,3.32535827641846e-36,"0","MIDN"
"477",1.75320989554247e-40,0.717195037676502,0.661,0.208,4.18105495888968e-36,"0","IFNGR1"
"478",1.76021222082282e-40,0.990929741169905,0.791,0.374,4.19775410421826e-36,"0","SOD2"
"479",1.78714358436693e-40,0.755568885768502,0.498,0.111,4.26198001999826e-36,"0","SOX4"
"480",1.87849297031622e-40,0.352226628865419,0.253,0.01,4.47983003561013e-36,"0","AC139495.3"
"481",2.11205031315286e-40,0.600295567345155,0.437,0.076,5.03681758680694e-36,"0","HMOX1"
"482",2.13137434947385e-40,0.706786200571195,0.715,0.236,5.08290154862524e-36,"0","CD4"
"483",2.52599920232029e-40,0.379186935357285,0.253,0.01,6.02400289769342e-36,"0","ASGR2"
"484",2.82550238873704e-40,0.571246185824513,0.513,0.118,6.73825809666009e-36,"0","ALDH3B1"
"485",3.29211419330314e-40,0.452525424404173,0.321,0.033,7.85103392818932e-36,"0","HOMER3"
"486",4.95291021524177e-40,0.434315638577964,0.292,0.024,1.18117002813086e-35,"0","WDFY3"
"487",5.07227008920188e-40,0.757857497953315,0.765,0.301,1.20963497087286e-35,"0","TCIRG1"
"488",5.31398155336582e-40,0.682822957407539,0.693,0.239,1.26727832084668e-35,"0","CSF2RA"
"489",7.19907138382432e-40,0.491731402022554,0.415,0.071,1.71683454361442e-35,"0","IRF5"
"490",7.54492874133647e-40,0.751458828258391,0.87,0.457,1.79931460623392e-35,"0","CAPZA1"
"491",7.82594500215015e-40,0.563163037667462,0.498,0.112,1.86633136411277e-35,"0","RCBTB2"
"492",8.76150457180139e-40,0.547471050020509,0.531,0.13,2.08944361028319e-35,"0","ATP6V0A1"
"493",1.05402298845189e-39,0.418756137314361,0.285,0.022,2.51363402286006e-35,"0","F13A1"
"494",1.0671762186664e-39,0.730305545694687,0.744,0.291,2.54500184627563e-35,"0","ATG3"
"495",1.09379205665427e-39,0.68083675710053,0.773,0.292,2.60847529670911e-35,"0","SH3BP2"
"496",1.37169623630505e-39,0.688235040252554,0.65,0.212,3.27122118434029e-35,"0","NAPRT"
"497",1.57162319273967e-39,0.560968403044457,0.498,0.114,3.74800699004557e-35,"0","HEBP1"
"498",1.73890043347195e-39,0.385445781996578,0.307,0.029,4.14692975374391e-35,"0","LRMDA"
